,CustID,bucket,age,loyalty_card,Department,brand_name,Storechain,ChannelType,Class,StoreNum,Storeage,trx_hr_char,trx_dow_new,trx_tod,Date,MDY,Year,Sales,Cost,mkt_bdgt,Margin,sss,City,City_Lat,City_Long,Country,Country_Lat,Country_Long,Region,Region_Lat,Region_Long,Region_2,Region_2_Lat,Region_2_Long,State,State_Lat,State_Long,age_bucket,Storechain1,brand_name1
0,30545152.0,2.0,,0.0,women,Oak,FAST,Internet,women_tops,1113.0,6.0,9 AM,TUE,Morning,2009-10-27,10:09:00,2009.0,55.0,17.0,2170213.56,38.6,1363.0,Emeryville,37.835926,-122.287253,United States,35.443,-119.3619,US_WC,47.0,-121.0,US West Coast,47.0,-121.0,CA,35.443,-119.3619,26-35,GRAND,Pine
1,30545334.0,1.0,50.0,1.0,women,Oak,FAST,Internet,women_tops,1113.0,6.0,11 AM,WED,Morning,2010-01-06,01:10:00,2010.0,28.0,15.0,2170213.56,13.49,1363.0,Emeryville,37.835926,-122.287253,United States,35.443,-119.3619,US_WC,47.0,-121.0,US West Coast,47.0,-121.0,CA,35.443,-119.3619,56-65,MODA,Maple
2,30545334.0,2.0,50.0,1.0,women,Oak,FAST,Internet,women_handbags,975.0,7.0,9 AM,MON,Morning,2009-10-26,10:09:00,2009.0,40.0,17.0,3200096.68,22.72,810.0,Sonoma,38.288771,-122.458884,United States,35.443,-119.3619,US_WC,47.0,-121.0,US West Coast,47.0,-121.0,CA,35.443,-119.3619,Over 65,FAST,Oak
3,30545523.0,1.0,,0.0,women,Oak,FAST,Internet,women_Graphic Tees,1037.0,1.0,4 PM,FRI,Afternoon,2009-11-27,11:09:00,2009.0,59.0,16.0,2002053.84,43.51,1499.0,Kansas City,39.076304,-94.555406,United States,38.4633,-92.0991,US_MW,43.3,-84.75,US Midwest,43.3,-84.75,MO,38.4633,-92.0991,Over 65,FAST,Oak
4,30545586.0,2.0,,0.0,women,Oak,FAST,Internet,women_tops,975.0,7.0,4 PM,SAT,Afternoon,2009-09-19,09:09:00,2009.0,15.0,12.0,3200096.68,2.14,810.0,Temecula,33.503295,-117.123687,United States,35.443,-119.3619,US_WC,47.0,-121.0,US West Coast,47.0,-121.0,CA,35.443,-119.3619,36-45,MODA,Maple
5,30545595.0,1.0,86.0,1.0,women,Oak,FAST,Resale,women_handbags,863.0,2.0,4 PM,WED,Afternoon,2009-11-11,11:09:00,2009.0,65.0,18.0,1973216.84,47.61,1337.0,Boston,42.321597,-71.089115,United States,42.2748,-71.378,US_NE,42.0,-75.0,US Northeast,42.0,-75.0,MA,42.2748,-71.378,36-45,GRAND,Pine
6,30545618.0,2.0,,0.0,women,Oak,FAST,Internet,women_socks,953.0,2.0,4 PM,SAT,Afternoon,2009-10-17,10:09:00,2009.0,20.0,7.0,1973216.84,12.9,1380.0,Atlanta,33.759506,-84.403176,United States,33.2598,-83.8337,US_SE,30.0,-83.0,US Southeast,30.0,-83.0,GA,33.2598,-83.8337,36-45,MODA,Maple
7,30545618.0,2.0,,0.0,women,Oak,FAST,Internet,women_socks,1113.0,6.0,11 AM,SAT,Morning,2009-09-05,09:09:00,2009.0,20.0,7.0,2170213.56,12.9,1363.0,Glendale,34.170939,-118.250081,United States,35.443,-119.3619,US_WC,47.0,-121.0,US West Coast,47.0,-121.0,CA,35.443,-119.3619,26-35,GRAND,Pine
8,30545638.0,2.0,,0.0,women,Oak,FAST,Store,women_tops,1023.0,2.0,12 PM,SAT,Afternoon,2009-11-07,11:09:00,2009.0,40.0,16.0,2410874.34,24.49,995.0,Ann Arbor,42.274488,-83.739261,United States,42.8535,-84.1439,US_MW,43.3,-84.75,US Midwest,43.3,-84.75,MI,42.8535,-84.1439,18-25,FAST,Oak
9,30545692.0,1.0,,0.0,women,Oak,FAST,Internet,women_Graphic Tees,975.0,7.0,9 AM,MON,Morning,2010-01-11,01:10:00,2010.0,61.0,15.0,3200096.68,46.04,810.0,Sonoma,38.288771,-122.458884,United States,35.443,-119.3619,US_WC,47.0,-121.0,US West Coast,47.0,-121.0,CA,35.443,-119.3619,Over 65,FAST,Oak
