word,firstLetter,secondLetter,thirdLetter,fourthLetter,fifthLetter,top5FirstLetter,top5SecondLetter,top5ThirdLetter,top5FourthLetter,top5FifthLetter,numberOfTop5Letters
AAHED,A,A,H,E,D,0,1,0,1,1,3
AALII,A,A,L,I,I,0,1,0,1,0,2
AAPAS,A,A,P,A,S,0,1,0,1,1,3
AARGH,A,A,R,G,H,0,1,1,0,0,2
AARTI,A,A,R,T,I,0,1,1,1,0,3
ABACA,A,B,A,C,A,0,0,1,0,1,2
ABACI,A,B,A,C,I,0,0,1,0,0,1
ABACS,A,B,A,C,S,0,0,1,0,1,2
ABAFT,A,B,A,F,T,0,0,1,0,0,1
ABAHT,A,B,A,H,T,0,0,1,0,0,1
ABAKA,A,B,A,K,A,0,0,1,0,1,2
ABAMP,A,B,A,M,P,0,0,1,0,0,1
ABAND,A,B,A,N,D,0,0,1,1,1,3
ABASH,A,B,A,S,H,0,0,1,0,0,1
ABASK,A,B,A,S,K,0,0,1,0,0,1
ABAYA,A,B,A,Y,A,0,0,1,0,1,2
ABBAS,A,B,B,A,S,0,0,0,1,1,2
ABBED,A,B,B,E,D,0,0,0,1,1,2
ABBES,A,B,B,E,S,0,0,0,1,1,2
ABCEE,A,B,C,E,E,0,0,0,1,1,2
ABEAM,A,B,E,A,M,0,0,0,1,0,1
ABEAR,A,B,E,A,R,0,0,0,1,0,1
ABEAT,A,B,E,A,T,0,0,0,1,0,1
ABEER,A,B,E,E,R,0,0,0,1,0,1
ABELE,A,B,E,L,E,0,0,0,0,1,1
ABENG,A,B,E,N,G,0,0,0,1,0,1
ABERS,A,B,E,R,S,0,0,0,0,1,1
ABETS,A,B,E,T,S,0,0,0,1,1,2
ABEYS,A,B,E,Y,S,0,0,0,0,1,1
ABIES,A,B,I,E,S,0,0,1,1,1,3
ABIUS,A,B,I,U,S,0,0,1,0,1,2
ABJAD,A,B,J,A,D,0,0,0,1,1,2
ABJUD,A,B,J,U,D,0,0,0,0,1,1
ABLER,A,B,L,E,R,0,0,0,1,0,1
ABLES,A,B,L,E,S,0,0,0,1,1,2
ABLET,A,B,L,E,T,0,0,0,1,0,1
ABLOW,A,B,L,O,W,0,0,0,0,0,0
ABMHO,A,B,M,H,O,0,0,0,0,0,0
ABNET,A,B,N,E,T,0,0,1,1,0,2
ABOHM,A,B,O,H,M,0,0,1,0,0,1
ABOIL,A,B,O,I,L,0,0,1,1,0,2
ABOMA,A,B,O,M,A,0,0,1,0,1,2
ABOON,A,B,O,O,N,0,0,1,0,0,1
ABORD,A,B,O,R,D,0,0,1,0,1,2
ABORE,A,B,O,R,E,0,0,1,0,1,2
ABORN,A,B,O,R,N,0,0,1,0,0,1
ABRAM,A,B,R,A,M,0,0,1,1,0,2
ABRAY,A,B,R,A,Y,0,0,1,1,1,3
ABRIM,A,B,R,I,M,0,0,1,1,0,2
ABRIN,A,B,R,I,N,0,0,1,1,0,2
ABRIS,A,B,R,I,S,0,0,1,1,1,3
ABSEY,A,B,S,E,Y,0,0,0,1,1,2
ABSIT,A,B,S,I,T,0,0,0,1,0,1
ABUNA,A,B,U,N,A,0,0,0,1,1,2
ABUNE,A,B,U,N,E,0,0,0,1,1,2
ABURA,A,B,U,R,A,0,0,0,0,1,1
ABURN,A,B,U,R,N,0,0,0,0,0,0
ABUTS,A,B,U,T,S,0,0,0,1,1,2
ABUZZ,A,B,U,Z,Z,0,0,0,0,0,0
ABYES,A,B,Y,E,S,0,0,0,1,1,2
